courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,4,3,,,-,Mathematical Induction,-,Proofs in First Order Logic,-,Understanding,-,"Mathematical Induction: Mathematical induction is a proof technique used to establish the truth of statements about natural numbers by proving a base case and then showing that if the statement holds for one natural number, it also holds for the next.",-
3,4,4,,,-,Strong Induction,-,Proofs in First Order Logic,-,Understanding,-,"Strong Induction: Strong induction is a variant of mathematical induction that allows the assumption that the statement holds for all previous natural numbers up to a given value, rather than just the immediately preceding number.",-
3,5,,,,-,Set Theory,-,Set Theory,-,Understanding,-,,-
3,5,1,,,-,Sets,-,Set Theory,-,Understanding,-,"Sets: Sets are collections of distinct objects, considered as a single entity. They are fundamental in mathematics and used to represent groups of elements with common properties.",-
3,5,2,,,-,Operations with Sets,-,Set Theory,-,Understanding,-,"Operations with Sets: Sets can undergo various operations, including union, intersection, difference, and complement, allowing for manipulation and comparison of sets.",-
3,5,3,,,-,Relations,-,Set Theory,-,Understanding,-,Relations: Relations are associations between elements of sets. They can be represented as sets of ordered pairs and are used to describe connections or interactions between objects.,-
3,5,4,,,-,Equivalence Relations,-,Set Theory,-,Understanding,-,"Equivalence Relations: Equivalence relations are a special type of relation that satisfy three properties: reflexivity, symmetry, and transitivity. They partition a set into disjoint subsets called equivalence classes.",-
3,5,5,,,-,Functions,-,Set Theory,-,Understanding,-,Functions: Functions are mathematical constructs that relate elements of one set (the domain) to elements of another set (the codomain). They assign exactly one output to each input and are essential for modeling relationships between objects.,-
3,5,6,,,-,Cardinality of sets,-,Set Theory,-,Understanding,-,"Cardinality of Sets: The cardinality of a set is the measure of its size, representing the number of elements it contains. It can be finite or infinite, and different techniques, such as counting and bijections, are used to determine cardinality.",-
3,6,,,,-,Algebra,-,Algebra,-,Understanding,-,,-
3,6,1,,,-,Groups,-,Algebra,-,Understanding,-,"Groups: Groups are algebraic structures consisting of a set together with a binary operation that satisfies four properties: closure, associativity, identity element, and invertibility.",-
3,6,1,1,,-,Subgroups,-,Algebra,-,Understanding,-,Subgroups: Subgroups are subsets of a group that form a group themselves under the same binary operation.,-
3,6,2,,,-,Morphisms,-,Algebra,-,Understanding,-,Morphisms: Morphisms are structure-preserving mappings between algebraic structures.,-
3,6,3,,,-,Multiplicative Groups,-,Algebra,-,Understanding,-,Multiplicative Groups: Multiplicative groups arise from certain sets of elements equipped with multiplication as the binary operation.,-
3,6,3,1,,-,RSA,-,Algebra,-,Understanding,-,RSA (Rivest-Shamir-Adleman) is a widely used public-key encryption algorithm based on the difficulty of factoring large prime numbers.,-
3,6,4,,,-,Other Results of Group and Field Theory,-,Algebra,-,Understanding,-,"Group and field theory yield various important results and theorems, including Lagrange's theorem, which relates the order of a subgroup to the order of the parent group, and the fundamental theorem of finite abelian groups",-
3,7,,,,-,Combinatorics,-,Combinatorics,-,Understanding,-,,-
3,7,1,,,-,The Basics of Counting,-,Combinatorics,-,Understanding,-,"The Basics of Counting: Combinatorics deals with counting, arranging, and choosing objects. It includes fundamental concepts such as permutations, combinations, and the principle of inclusion-exclusion.",-
3,7,2,,,-,Permutations and Combinations,-,Combinatorics,-,Understanding,-,"Permutations and Combinations: Permutations are arrangements of objects in a specific order, while combinations are selections of objects without considering the order.",-
3,7,3,,,-,Binomial Coefficients and Identities,-,Combinatorics,-,Understanding,-,Binomial Coefficients and Identities: Binomial coefficients represent the number of ways to choose k elements from a set of n elements.,-
3,7,4,,,-,Generalized Permutations and Combinations,-,Combinatorics,-,Understanding,-,"Generalized Permutations and Combinations: Generalizations of permutations and combinations involve situations with restrictions or additional conditions. Examples include permutations with repetition, combinations with replacement, and multinomial coefficients.",-
3,7,5,,,-,Catalan Numbers,-,Combinatorics,-,Understanding,-,"Catalan Numbers: Catalan numbers are a sequence of natural numbers that appear in various combinatorial problems, such as counting different types of well-formed parentheses expressions, binary trees, and polygon triangulations.",-
3,8,,,,-,Graphs,-,Graphs,-,Understanding,-,,-
3,8,1,,,-,Graphs and Graph Models,-,Graphs,-,Understanding,-,"Graphs and Graph Models: Graph theory studies the properties and relationships of graphs, which consist of vertices (nodes) and edges (connections). Graphs model various real-world scenarios, such as networks, social interactions, and transportation systems.",-
3,8,2,,,-,Graph Terminology: Degrees and Neighbourhoods,-,Graphs,-,Understanding,-,"Graph Terminology: Degrees and Neighbourhoods: The degree of a vertex refers to the number of edges incident to it, while the neighbourhood of a vertex includes all vertices adjacent to it.",-
3,8,3,,,-,Named Graphs,-,Graphs,-,Understanding,-,"Named Graphs: Named graphs are specific types of graphs with well-defined properties or structures. Examples include complete graphs, cycles, paths, and trees.",-
3,8,4,,,-,Connectivity,-,Graphs,-,Understanding,-,Connectivity: Connectivity in graphs refers to the degree to which vertices are connected.,-
3,8,5,,,-,Commonly Known Graph Problems,-,Graphs,-,Understanding,-,"Commonly Known Graph Problems: Graph theory encompasses a wide range of problems, including finding shortest paths, determining connectivity, identifying cycles, and solving optimization tasks like the traveling salesman problem",-
3,8,6,,,-,Representing Graphs and Graph Isomorphisms,-,Graphs,-,Understanding,-,"Representing Graphs and Graph Isomorphisms: Graphs can be represented using various data structures, such as adjacency matrices or adjacency lists. Graph isomorphism deals with determining whether two graphs are structurally identical, despite differences in vertex labeling or edge orientation.",-
3,8,7,,,-,Shortest Path Problems,-,Graphs,-,Understanding,-,Shortest Path Problems: Shortest path problems involve finding the most efficient route between two vertices in a graph. Algorithms like Dijkstra's algorithm and Bellman-Ford algorithm are commonly used to solve such problems.,-
3,8,8,,,-,Euler and Hamiltonian Graphs,-,Graphs,-,Understanding,-,"Euler and Hamiltonian Graphs: Eulerian graphs are graphs that contain an Eulerian cycle, a path that traverses every edge exactly once. Hamiltonian graphs contain a Hamiltonian cycle, a path that visits every vertex exactly once.",-
