courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
17,1,1,2,,-,Backtracking,-,Algorithmic Techniques,-,Understanding,-,"A technique for systematically searching through all possible solutions to find the optimal one, often used in constraint satisfaction problems.",-
17,1,1,2,1,-,Gauss’ algorithm,-,Algorithmic Techniques,-,Understanding,-,"Various algorithms attributed to Carl Friedrich Gauss, often used for solving linear equations and finding determinants.",-
17,1,1,2,2,-,Recursive algorithm,-,Algorithmic Techniques,-,Understanding,-,An algorithm that solves a problem by solving smaller instances of the same problem.,-
17,1,1,2,3,-,Game-playing algorithm,-,Algorithmic Techniques,-,Understanding,-,"Algorithms used in artificial intelligence for making decisions in games, such as minimax algorithm with alpha-beta pruning.",-
17,1,1,2,4,-,subset sum,-,Algorithmic Techniques,-,Understanding,-,A problem in combinatorial optimization that asks whether there exists a subset of a given set whose elements sum to a given target value.,-
17,1,1,2,5,-,LIS algorithm,-,Algorithmic Techniques,-,Understanding,-,An algorithm for finding the longest increasing subsequence in a given sequence of numbers.,-
17,1,2,,,-,Dynamic Programming,-,Algorithmic Techniques,-,Understanding,-,A technique used to solve problems by breaking them down into smaller overlapping subproblems and solving each subproblem only once,-
17,1,2,1,,-,Fibonacci Sequence,-,Algorithmic Techniques,-,Understanding,-,Finding the nth Fibonacci number using dynamic programming to avoid redundant recursive calls.,-
17,1,2,2,,-,Text Segmentation,-,Algorithmic Techniques,-,Understanding,-,"Breaking a given text into words such that the concatenation of these words forms the original text, with the minimum number of words.",-
17,1,2,3,,-,Subset Sum,-,Algorithmic Techniques,-,Understanding,-,Determining whether there exists a subset of a given set whose elements sum to a given target value.,-
17,1,2,4,,-,Longest Increasing Subsequence,-,Algorithmic Techniques,-,Understanding,-,Finding the longest subsequence in a given sequence of numbers that is strictly increasing.,-
17,1,2,5,,-,Edit Distance,-,Algorithmic Techniques,-,Understanding,-,"Calculating the minimum number of operations (insertion, deletion, substitution) required to transform one string into another.",-
17,1,2,6,,-,Maximum Independent Set,-,Algorithmic Techniques,-,Understanding,-,"Finding the largest subset of vertices in a graph such that no two vertices are adjacent (i.e., there are no edges between any two vertices in the subset).",-
17,1,3,,,-,Greedy Algorithms,-,Algorithmic Techniques,-,Understanding,-,A class of algorithms that make locally optimal choices at each step with the hope of finding a global optimum solution.,-
17,1,3,1,,-,Sorting Files on Tape,-,Algorithmic Techniques,-,Understanding,-,Arranging files stored on multiple tapes in a specific order to minimize the total time required to access all files.,-
17,1,3,2,,-,Exchange Arguments,-,Algorithmic Techniques,-,Understanding,-,A technique used in proving the optimality of greedy algorithms by showing that any optimal solution must have certain properties.,-
17,1,3,3,,-,Scheduling Problem,-,Algorithmic Techniques,-,Understanding,-,"Assigning tasks or jobs to resources such as processors or machines to optimize a certain objective, such as minimizing completion time or maximizing throughput.",-
17,1,3,4,,-,Huffman Codes,-,Algorithmic Techniques,-,Understanding,-,"A method of data compression that assigns variable-length codes to input characters, with shorter codes assigned to more frequently occurring characters.",-
17,2,,,,-,Graph Algorithms,-,Graph Algorithms,-,Understanding,-,"Graph algorithms are a fundamental part of computer science, focusing on analyzing and manipulating graphs, which consist of nodes (vertices) connected by edges.",-
17,2,1,,,-,Spanning trees,-,Graph Algorithms,-,Understanding,-,A subgraph of a graph that includes all the vertices of the original graph with the minimum possible number of edges.,-
17,2,1,1,,-,Kruskal’s algorithm,-,Graph Algorithms,-,Understanding,-,"A greedy algorithm for finding the minimum spanning tree (MST) of a connected, weighted graph.",-
17,2,1,2,,-,Jarník’s algorithm,-,Graph Algorithms,-,Understanding,-,"Another greedy algorithm for finding the minimum spanning tree (MST) of a connected, weighted graph.",-
17,2,2,,,-,Shortest Paths,-,Graph Algorithms,-,Understanding,-,"Finding the shortest path between two vertices in a weighted graph, where the path length is the sum of the weights of its edges.",-
17,2,2,1,,-,Dijkstra’s algorithm,-,Graph Algorithms,-,Understanding,-,A greedy algorithm for finding the shortest path from a single source vertex to all other vertices in a weighted graph with non-negative edge weights.,-
17,2,3,,,-,Network Flows,-,Graph Algorithms,-,Understanding,-,"Modeling the flow of goods, information, or resources through a network of nodes and edges, where the goal is to maximize or minimize the flow subject to capacity ",-
17,2,3,1,,-,Network Flows and Cuts,-,Graph Algorithms,-,Understanding,-,The relationship between flows in a network and cuts that partition the network into two disjoint sets of vertices.,-
17,2,3,2,,-,Max Flow- Min Cut Theorem,-,Graph Algorithms,-,Understanding,-,"The theorem states that in a flow network, the maximum flow value through the network equals the minimum cut capacity across all possible cuts of the network.",-
17,2,3,3,,-,Ford-Fulkerson Algorithm,-,Graph Algorithms,-,Understanding,-,An algorithm for computing the maximum flow in a flow network by repeatedly augmenting paths from the source to the sink until no more augmenting paths exist.,-
17,2,4,,,-,Graph Applications,-,Graph Algorithms,-,Understanding,-,,-
17,2,4,1,,-,Edge Disjoint Paths,-,Graph Algorithms,-,Understanding,-,Finding a set of paths in a graph such that no two paths share a common edge.,-
17,2,4,2,,-,Vertex Disjoint Paths,-,Graph Algorithms,-,Understanding,-,Finding a set of paths in a graph such that no two paths share a common vertex.,-
17,2,4,3,,-,Bipartite Matching,-,Graph Algorithms,-,Understanding,-,"Finding a maximum matching in a bipartite graph, where each vertex in one set is adjacent to at most one vertex in the other set.",-
17,2,5,,,-,Real-Life Applications,-,Graph Algorithms,-,Understanding,-,,-
17,2,5,1,,-,Assignment Problem,-,Graph Algorithms,-,Understanding,-,"Assigning a set of tasks to a set of resources in a way that optimizes some objective, such as minimizing total cost or maximizing efficiency.",-
17,2,5,2,,-,Baseball Elimination,-,Graph Algorithms,-,Understanding,-,Determining which teams are mathematically eliminated from contention in a baseball league based on the remaining games to be played.,-
17,2,5,3,,-,Job Selection,-,Graph Algorithms,-,Understanding,-,"Selecting a subset of jobs from a pool of available jobs to maximize some objective, such as total profit or total satisfaction.",-
17,3,,,,,Linear Programming,-,Linear Programming,-,Understanding,-,,-
17,3,1,,,,LP Introduction,,Linear Programming,,Understanding,,"Introduction to linear programming, a method for optimizing a linear objective function subject to linear equality and inequality constraints.",
17,3,2,,,,Compute dual of a LP,-,Linear Programming,-,Understanding,-,"Finding the dual of a linear programming problem, which involves interchanging the roles of variables and constraints to obtain an equivalent problem with different objectives and constraints.",-
