courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,7,3,,,-,Binomial Coefficients and Identities,-,Combinatorics,-,Understand,-,Binomial Coefficients and Identities: Binomial coefficients represent the number of ways to choose k elements from a set of n elements.,-
3,7,4,,,-,Generalized Permutations and Combinations,-,Combinatorics,-,Understand,-,"Generalized Permutations and Combinations: Generalizations of permutations and combinations involve situations with restrictions or additional conditions. Examples include permutations with repetition, combinations with replacement, and multinomial coefficients.",-
3,7,5,,,-,Catalan Numbers,-,Combinatorics,-,Understand,-,"Catalan Numbers: Catalan numbers are a sequence of natural numbers that appear in various combinatorial problems, such as counting different types of well-formed parentheses expressions, binary trees, and polygon triangulations.",-
3,8,,,,-,Graphs,-,Graphs,-,Understand,-,,-
3,8,1,,,-,Graphs and Graph Models,-,Graphs,-,Understand,-,"Graphs and Graph Models: Graph theory studies the properties and relationships of graphs, which consist of vertices (nodes) and edges (connections). Graphs model various real-world scenarios, such as networks, social interactions, and transportation systems.",-
3,8,2,,,-,Graph Terminology: Degrees and Neighbourhoods,-,Graphs,-,Understand,-,"Graph Terminology: Degrees and Neighbourhoods: The degree of a vertex refers to the number of edges incident to it, while the neighbourhood of a vertex includes all vertices adjacent to it.",-
3,8,3,,,-,Named Graphs,-,Graphs,-,Understand,-,"Named Graphs: Named graphs are specific types of graphs with well-defined properties or structures. Examples include complete graphs, cycles, paths, and trees.",-
3,8,4,,,-,Connectivity,-,Graphs,-,Understand,-,Connectivity: Connectivity in graphs refers to the degree to which vertices are connected.,-
3,8,5,,,-,Commonly Known Graph Problems,-,Graphs,-,Understand,-,"Commonly Known Graph Problems: Graph theory encompasses a wide range of problems, including finding shortest paths, determining connectivity, identifying cycles, and solving optimization tasks like the traveling salesman problem",-
3,8,6,,,-,Representing Graphs and Graph Isomorphisms,-,Graphs,-,Understand,-,"Representing Graphs and Graph Isomorphisms: Graphs can be represented using various data structures, such as adjacency matrices or adjacency lists. Graph isomorphism deals with determining whether two graphs are structurally identical, despite differences in vertex labeling or edge orientation.",-
3,8,7,,,-,Shortest Path Problems,-,Graphs,-,Understand,-,Shortest Path Problems: Shortest path problems involve finding the most efficient route between two vertices in a graph. Algorithms like Dijkstra's algorithm and Bellman-Ford algorithm are commonly used to solve such problems.,-
3,8,8,,,-,Euler and Hamiltonian Graphs,-,Graphs,-,Understand,-,"Euler and Hamiltonian Graphs: Eulerian graphs are graphs that contain an Eulerian cycle, a path that traverses every edge exactly once. Hamiltonian graphs contain a Hamiltonian cycle, a path that visits every vertex exactly once.",-
